Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit
Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0
Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0
Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0
Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0
Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0
Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0
Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0
Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0
Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0
Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0
Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0
Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0
Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0
Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0
Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3
Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0
Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0
Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0
Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0
Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0
Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0
Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0
Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0
Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0
Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0
Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0
Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0
Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0
Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0
Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0
Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0
Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0
Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0
Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0
Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0
Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0
Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0
Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0
Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0
Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0
Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0
Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0
Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0
Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0
Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0
Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0
Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0
Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3
Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0
Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0
Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0
Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0
Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0
Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0
Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0
Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0
Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0
Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0
Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0
Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0
Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0
Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0
Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0
Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0
Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0
Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0
Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0
Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0
Existing Customer,63,F,1,College,Married,Unknown,Blue,36,6,2,3,3967.0
Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0
Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0
Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0
Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0
Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0
Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0
Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0
Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250.0
Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0
Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349.0
Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0
Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0
Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860.0
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0
Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405.0
Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154.0
Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038.0
Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135.0
Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364.0
Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,32643.0
Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195.0
Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852.0
Existing Customer,59,F,1,College,Single,Unknown,Blue,36,2,3,3,4224.0
Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459.0
Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482.0
Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065.0
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185.0
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611.0
Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822.0
Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975.0
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3
Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,3,15875.0
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,3,3,6703.0
Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212.0
Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1,3,34516.0
Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1,2,9797.0
Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400.0
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792.0
Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006.0
Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482.0
Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356.0
Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771.0
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0
Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890.0
Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380.0
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331.0
Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,6,2,1,12860.0
Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,0,6278.0
Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,5,1,3,1438.3
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,5,1,2,9355.0
Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758.0
Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,1,14612.0
Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,5,2,0,27259.0
Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347.0
Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592.0
Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449.0
Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,2,1,2,6028.0
Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,3,2,3,18214.0
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,16393.0
Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3
Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,4,1,2,7871.0
Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5,3,0,5288.0
Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5,3,11376.0
Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,4,5,3,12302.0
Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2,1,34516.0
Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,2,34516.0
Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514.0
Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,3,1438.3
Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,3,1438.3
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1,2,2619.0
Existing Customer,58,M,2,College,Married,$120K +,Blue,53,2,3,0,24407.0
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2,2377.0
Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,3,2,3,34516.0
Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,3,11086.0
Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,4,2,2,11432.0
Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,5,3,2,13258.0
Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,3,2,3,2571.0
Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,5,2,0,5781.0
Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30,5,1,2,7872.0
Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,6,1,2,34516.0
Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,1,3,11127.0
Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43,2,1,3,1857.0
Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1,0,1913.0
Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,3,0,3839.0
Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2,3,2115.0
Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2,2,1438.3
Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,4,3,0,27756.0
Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32,4,1,2,1438.3
Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,4,2,13878.0
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3,3106.0
Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,4,3,3,34516.0
Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,4,3,1438.3
Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,46,2,3,0,18871.0
Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,2,2,5207.0
Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,2,17965.0
Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,6,3,3,2733.0
Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48,4,3,2,8863.0
Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857.0
Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3,3,3,34516.0
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,3,3,11107.0
Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34,4,1,2,21573.0
Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33,2,3,3,2859.0
Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2,2,5269.0
Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,2,2,3,1438.3
Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,1,3,2,3387.0
Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,2,3,1982.0
Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2,2,4645.0
Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,6,3,2,2189.0
Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,3,3,2442.0
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4,1,2,21304.0
Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5,1,2,7577.0
Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1,2,3234.0
Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,5,3,2,4469.0
Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,6,3,4,2910.0
Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616.0
Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3,2,3,3252.0
Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,4,3,3,2358.0
Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,36,4,1,0,22322.0
Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2,2,3133.0
Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2,3,0,3540.0
Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,3,2,6990.0
Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,22,2,2,3,34516.0
Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,4,1,1438.3
Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,35,6,3,2,24396.0
Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,36,2,3,2,2474.0
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5,1,3,5214.0
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,2,2,5207.0
Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,25,2,2,2,9512.0
Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,6,3,2,3187.0
Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3,3353.0
Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3,3,3,2290.0
Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,43,6,1,3,5279.0
Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,5,3,0,23603.0
Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,6,2,2,2601.0
Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,40,4,3,0,6363.0
Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36,4,3,3,8029.0
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2,2,2,2410.0
Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,1,2,3401.0
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23,4,2,0,2260.0
Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,5,2,2,17682.0
Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,3,1,3,4206.0
Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37,4,3,2,34516.0
Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,36,4,3,0,23018.0
Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5,2,3,5556.0
Attrited Customer,54,F,2,High School,Married,Unknown,Blue,44,3,3,1,6094.0
Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,52,3,1,2,2939.0
Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,2,1,0,5362.0
Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,3,3,3,27126.0
Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,2,3342.0
Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40,6,2,2,2532.0
Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,46,2,2,3,1900.0
Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37,2,3,2,14546.0
Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,36,2,3,2,2521.0
Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,3,4,3,16427.0
Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36,5,1,2,13068.0
Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,33,6,3,0,23218.0
Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36,5,1,3,3281.0
Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,5,3,2,3096.0
Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52,5,2,3,2052.0
Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,30,2,3,0,1438.3
Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,39,2,3,2,9432.0
Existing Customer,50,M,0,High School,Single,$120K +,Silver,45,5,2,3,14938.0
Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue,36,5,3,2,2221.0
Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,37,6,3,0,5731.0
Existing Customer,48,M,4,College,Married,$60K - $80K,Gold,33,2,2,3,34516.0
